ID	ANTIBODY	GROUP	COLOR	QC	TURNS	SF
DAP0_2.bam	H3K27me3	DAP0	turquoise	pass	1.35,0.5365,8,0.9642	2.03
DAP2_2.bam	H3K27me3	DAP2	yellow	pass	1.2,0.4432,9.1,0.9647	1.98
DAP4_2.bam	H3K27me3	DAP4	red	pass	1.15,0.3835,12.7,0.9626	2.6
DAP6em_2.bam	H3K27me3	DAP6em	black	pass	1.15,0.5072,6.7,0.9574	1.61
DAP8em_2.bam	H3K27me3	DAP8em	pink	pass	0.35,0.3825,4.75,0.9562	1
DAP12em_2.bam	H3K27me3	DAP12em	blue	pass	0.6,0.2955,6.95,0.9578	1.25
DAP16em_2.bam	H3K27me3	DAP16em	brown	pass	1.2,0.4154,7.3,0.955	1.47
DAP22em_2.bam	H3K27me3	DAP22em	green	pass	0.9,0.3998,5.2,0.9489	1.02
